gpuUtilization,vramUsage,powerDraw
0.02,1.1,30.0
0.03,1.2,32.0
0.05,1.3,35.0
0.10,1.5,45.0
0.12,1.6,50.0
0.15,1.8,55.0
0.20,2.0,60.0
0.25,2.2,70.0
0.30,2.5,80.0
0.35,3.0,90.0
0.40,3.5,100.0
0.45,4.0,120.0
0.50,4.5,130.0
0.55,5.0,140.0
0.60,5.5,150.0
0.62,5.8,155.0
0.65,6.0,160.0
0.68,6.2,165.0
0.70,6.5,170.0
0.72,6.8,180.0
0.75,7.0,190.0
0.77,7.2,195.0
0.78,7.5,200.0
0.80,7.8,210.0
0.82,8.0,220.0
0.85,8.2,230.0
0.87,8.5,240.0
0.88,8.7,250.0
0.90,9.0,260.0
0.92,9.2,270.0
0.93,9.5,275.0
0.94,9.7,280.0
0.95,10.0,290.0
0.96,10.2,295.0
0.97,10.5,300.0
0.98,10.7,310.0
0.99,11.0,320.0
1.00,11.2,330.0
0.90,10.5,300.0
0.85,9.8,280.0
0.80,9.0,260.0
0.75,8.5,240.0
0.70,8.0,220.0
0.65,7.5,200.0
0.60,7.0,180.0
0.55,6.5,160.0
0.50,6.0,140.0
0.45,5.5,120.0
0.40,5.0,100.0
0.35,4.5,80.0
